State,Area,2018-Total,2019-Total,2020-Total,2018-Mining and Logging,2019-Mining and Logging,2020-Mining and Logging,2018-Construction,2019-Construction,2020-Construction,2018-Manufacturing,2019-Manufacturing,2020-Manufacturing,"2018-Trade, transportation, and utilities","2019-Trade, transportation, and utilities","2020-Trade, transportation, and utilities",2018-Information,2019-Information,2020-Information,2018-Financial activities,2019-Financial activities,2020-Financial activities,2018-Professional and business services,2019-Professional and business services,2020-Professional and business services,2018-Education and health services,2019-Education and health services,2020-Education and health services,2018-Leisure and hospitality,2019-Leisure and hospitality,2020-Leisure and hospitality,2018-Other services,2019-Other services,2020-Other services,2018-Government,2019-Government,2020-Government
Arkansas,Jonesboro(2),58.8,60.3,58.2,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,9.1,9.1,8.6
Arkansas,Little Rock-North Little Rock-Conway(1),363.4,365.6,348.8,–,–,–,17.2,17.8,17.7,20.9,21.1,19.4,70.5,70.5,68.2,5.7,5.6,5.3,21.3,22.0,22.2,48.2,47.2,43.4,57.3,58.2,57.0,34.4,34.6,29.2,17.2,17.7,17.7,70.8,70.8,68.7
Arkansas,Pine Bluff(2),33.3,32.7,31.5,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,9.2,9.0,8.9
California,Total,17172.6,17430.4,16140.5,22.4,22.5,19.8,860.2,885.2,855.1,1324.0,1326.8,1261.7,3046.9,3053.7,2894.9,543.2,562.1,529.0,837.9,841.1,815.3,2669.4,2721.9,2595.2,2722.2,2807.2,2731.6,1993.2,2036.3,1477.6,571.7,576.2,473.2,2581.6,2597.4,2487.1
California,Bakersfield,266.8,273.4,259.5,9.3,9.6,7.9,15.9,16.3,15.3,13.2,12.9,12.4,53.3,52.9,52.1,2.0,1.9,1.5,7.6,7.5,7.3,26.7,28.0,26.5,38.1,40.9,41.0,26.7,27.6,22.8,7.9,8.3,7.3,66.1,67.6,65.4
California,Chico(1),82.5,80.6,73.4,–,–,–,4.3,4.4,4.2,4.3,4.1,4.0,14.7,14.5,13.6,0.9,0.8,0.7,3.3,3.1,3.0,5.6,5.8,5.4,19.9,18.4,17.5,9.2,9.0,7.1,3.8,3.9,3.0,16.4,16.6,14.9
California,El Centro(1),52.3,53.3,50.0,–,–,–,1.8,1.9,1.9,1.4,1.6,1.8,12.0,11.9,11.1,0.3,0.3,0.2,1.3,1.2,1.1,3.1,3.0,2.7,8.4,9.0,8.7,4.3,4.4,3.3,0.9,0.9,0.8,18.9,19.1,18.3
California,Fresno,354.1,363.3,348.9,0.3,0.3,0.3,18.7,19.0,18.6,25.9,26.2,25.8,68.8,70.0,70.0,3.6,3.4,3.0,14.1,14.3,13.5,32.5,34.6,33.8,69.3,72.5,72.0,34.5,35.7,28.6,11.9,12.1,11.0,74.5,75.2,72.5
California,Hanford-Corcoran(1),40.8,41.5,39.1,–,–,–,1.0,1.0,0.9,4.9,4.9,4.6,7.2,7.2,6.7,0.2,0.1,0.1,0.9,0.9,0.9,1.2,1.2,1.2,6.4,6.7,6.5,3.6,3.6,3.4,0.7,0.7,0.6,14.9,15.1,14.3
California,Los Angeles-Long Beach-Anaheim,6167.9,6235.0,5671.4,2.4,2.4,2.0,252.2,256.0,247.4,503.2,500.5,462.8,1113.3,1110.9,1028.9,243.1,243.8,210.0,341.8,341.1,326.8,947.7,972.6,900.3,1043.1,1073.0,1044.9,759.1,774.9,555.9,210.1,210.4,171.0,751.9,749.4,721.4
California,Madera(1),38.6,39.7,38.5,–,–,–,1.9,1.9,2.0,3.4,3.4,3.1,5.7,5.8,5.9,0.3,0.3,0.3,0.7,0.8,0.7,2.4,2.7,2.8,8.6,8.8,8.9,3.5,3.7,3.3,0.9,1.1,0.9,11.0,11.2,10.7
California,Merced(1),68.2,70.1,66.9,–,–,–,2.5,2.6,2.6,9.7,10.0,9.9,13.1,13.3,13.1,0.3,0.3,0.2,1.8,1.9,1.8,4.3,4.4,4.1,10.3,10.6,10.3,5.8,6.1,5.3,1.5,1.5,1.3,18.9,19.5,18.3
California,Modesto(1),179.1,181.4,172.8,–,–,–,10.2,10.5,9.8,21.6,21.4,21.1,37.4,37.7,37.1,1.0,1.0,0.8,5.3,5.3,5.0,15.4,15.3,14.9,33.6,34.7,34.3,19.3,19.2,15.7,5.8,5.9,5.1,29.5,30.3,29.0
California,Napa(1),74.2,74.8,66.0,–,–,–,4.7,4.7,4.1,13.2,13.7,12.9,10.2,10.3,9.7,0.4,0.3,0.2,2.2,2.3,2.1,7.2,7.2,6.8,10.1,10.3,9.8,13.5,13.7,9.1,2.1,2.1,1.7,10.5,10.2,9.7
California,Oxnard-Thousand Oaks-Ventura,309.1,312.8,290.6,0.9,0.9,0.9,16.8,17.1,16.7,26.2,26.6,25.6,58.7,57.8,53.6,5.4,5.2,3.9,16.4,15.9,15.7,42.9,44.4,42.6,47.7,49.6,48.5,37.8,38.5,29.9,9.5,9.7,8.2,46.9,47.1,44.9
California,Redding(1),65.9,67.3,65.5,–,–,–,3.5,3.9,4.3,2.6,2.6,2.5,12.8,13.0,13.0,0.6,0.5,0.5,2.7,2.8,2.8,6.1,6.1,5.8,15.1,15.5,15.4,6.8,7.0,5.8,2.5,2.4,2.2,13.3,13.6,13.3
California,Riverside-San Bernardino-Ontario,1506.0,1552.1,1487.8,1.2,1.2,1.3,105.2,107.2,105.0,99.8,100.6,94.3,378.8,394.4,403.8,11.4,11.5,9.4,44.6,45.0,43.7,152.0,158.7,154.0,239.5,250.3,248.7,170.6,175.9,139.2,45.8,46.2,39.6,257.2,261.2,249.1
California,Sacramento--Roseville--Arden-Arcade,1000.8,1022.7,970.2,0.5,0.5,0.6,64.5,69.4,70.1,36.0,36.8,35.9,159.8,161.3,156.3,12.4,11.9,10.1,53.5,52.5,51.8,136.0,137.4,132.5,159.8,166.6,163.0,106.2,109.6,83.7,34.2,35.4,30.6,238.0,241.4,235.6
California,Salinas,143.0,145.1,132.0,0.2,0.3,0.2,6.4,6.5,6.2,5.4,5.3,4.7,26.7,26.6,24.6,1.0,1.0,0.8,4.5,4.4,4.1,14.0,14.7,14.4,19.9,20.4,19.9,25.3,26.1,18.8,5.1,5.1,4.4,34.5,34.7,33.8
California,San Diego-Carlsbad,1482.2,1503.2,1385.3,0.4,0.4,0.3,83.7,84.0,81.9,112.3,115.7,113.8,225.1,224.2,208.5,23.6,23.5,22.1,76.0,76.5,74.3,249.0,255.7,247.7,208.9,216.6,210.2,199.6,201.7,144.9,55.5,56.4,44.5,248.1,248.6,237.1
California,San Francisco-Oakland-Hayward,2433.0,2482.9,2270.6,0.3,0.3,0.3,125.1,127.6,120.2,144.7,145.7,139.9,376.9,374.0,339.5,115.7,128.2,133.7,144.0,146.7,141.0,484.7,499.9,482.1,354.2,365.5,350.9,277.5,284.4,184.8,88.0,88.4,70.2,322.1,322.1,308.0
California,San Jose-Sunnyvale-Santa Clara,1128.5,1149.9,1078.7,0.2,0.2,0.2,49.9,53.0,50.1,172.1,172.0,168.7,133.8,130.6,118.0,92.1,100.6,106.0,36.7,37.9,38.0,236.2,243.1,237.9,176.2,178.7,171.7,105.7,107.5,71.7,28.9,28.9,22.2,96.7,97.3,94.3
California,San Luis Obispo-Paso Robles-Arroyo Grande(1),117.7,119.5,108.5,–,–,–,7.9,8.3,8.3,7.7,7.8,7.3,20.9,20.5,18.8,1.2,1.2,1.1,3.9,3.9,3.7,10.9,11.2,10.5,17.7,18.2,16.8,19.2,19.8,15.2,4.0,4.1,3.3,24.3,24.5,23.3
California,Santa Cruz-Watsonville(1),102.5,103.7,93.2,–,–,–,4.4,4.5,4.4,6.9,7.1,6.8,16.8,16.8,15.7,0.7,0.6,0.6,3.6,3.4,3.2,10.7,10.9,10.4,17.8,18.0,17.0,14.5,14.8,10.0,5.3,5.3,4.5,22.0,22.4,20.5
California,Santa Maria-Santa Barbara,189.4,194.0,181.5,1.0,1.1,0.8,8.8,8.9,8.8,12.9,12.9,11.9,27.2,27.2,25.5,4.0,4.1,3.9,6.7,6.9,6.7,28.0,29.7,32.1,27.4,28.4,28.0,28.2,29.0,21.7,6.2,6.5,5.6,39.0,39.4,36.6
