State,Area,2018-Total,2019-Total,2020-Total,2018-Mining and Logging,2019-Mining and Logging,2020-Mining and Logging,2018-Construction,2019-Construction,2020-Construction,2018-Manufacturing,2019-Manufacturing,2020-Manufacturing,"2018-Trade, transportation, and utilities","2019-Trade, transportation, and utilities","2020-Trade, transportation, and utilities",2018-Information,2019-Information,2020-Information,2018-Financial activities,2019-Financial activities,2020-Financial activities,2018-Professional and business services,2019-Professional and business services,2020-Professional and business services,2018-Education and health services,2019-Education and health services,2020-Education and health services,2018-Leisure and hospitality,2019-Leisure and hospitality,2020-Leisure and hospitality,2018-Other services,2019-Other services,2020-Other services,2018-Government,2019-Government,2020-Government
Louisiana,New Orleans-Metairie,578.2,585.3,529.7,4.3,4.3,3.8,30.3,29.2,26.8,29.9,30.1,29.0,113.4,112.7,104.5,7.6,8.1,6.0,30.5,31.3,29.6,74.8,76.4,71.0,99.6,103.2,100.5,90.4,91.9,65.3,24.4,24.4,21.2,72.9,73.7,71.9
Louisiana,Shreveport-Bossier City,181.6,181.1,167.8,5.1,5.0,4.0,8.0,7.8,7.4,10.6,11.0,9.9,37.0,36.6,35.0,2.0,1.8,1.5,7.5,7.5,7.3,18.6,18.5,17.1,32.5,32.7,31.6,23.5,23.5,18.8,6.5,6.5,5.8,30.4,30.3,29.5
Maine,Total,630.6,637.1,596.1,2.2,2.2,2.1,29.4,30.1,30.0,52.1,53.2,50.7,119.2,118.7,111.7,7.4,7.2,6.4,32.1,33.0,32.6,69.4,70.0,68.0,127.3,129.3,124.8,69.0,70.1,51.8,22.2,22.3,20.3,100.3,101.2,97.8
Maine,Bangor,67.5,68.2,64.0,0.2,0.2,0.2,3.3,3.3,3.1,2.4,2.6,2.4,13.8,13.9,13.3,0.8,0.8,0.7,2.3,2.3,2.3,6.6,6.8,7.2,16.2,16.4,15.8,6.8,6.9,4.9,2.2,2.2,2.0,12.8,12.9,12.1
Maine,Lewiston-Auburn(1),51.2,51.4,48.8,–,–,–,2.8,2.9,3.0,5.2,5.2,5.0,10.3,10.4,9.9,0.4,0.4,0.4,2.3,2.3,2.2,6.9,6.7,6.2,12.3,12.3,11.8,3.9,4.1,3.3,1.5,1.5,1.4,5.7,5.7,5.5
Maine,Portland-South Portland(1),210.6,213.1,197.6,–,–,–,10.0,10.2,10.1,14.0,14.4,14.0,39.4,38.8,35.8,3.4,3.3,2.9,16.5,17.1,17.0,29.3,29.8,28.8,42.2,43.3,41.7,24.4,24.8,17.5,8.1,8.1,7.1,23.4,23.5,22.7
Maryland,Total,2751.7,2769.9,2581.3,1.3,1.3,1.3,163.3,166.4,160.2,110.0,112.7,108.4,470.7,469.4,446.1,35.9,35.6,32.8,146.1,143.5,137.1,453.0,461.7,441.4,468.6,474.2,443.1,282.3,283.0,211.2,114.4,114.8,101.3,506.1,507.4,498.4
Maryland,Baltimore-Columbia-Towson(1),1417.3,1427.5,1333.2,–,–,–,80.6,81.8,79.7,57.7,59.5,58.1,246.5,247.8,237.6,17.3,17.4,16.6,80.1,79.4,77.1,239.0,244.9,232.4,278.3,280.4,264.3,138.9,139.0,101.6,52.0,51.6,44.8,227.0,225.7,221.1
Maryland,California-Lexington Park(2),46.2,47.1,46.9,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,14.9,15.4,15.2
Maryland,Cumberland(2),39.1,38.9,36.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,8.0,8.1,7.8
Maryland,Hagerstown-Martinsburg(1),105.6,105.5,99.1,–,–,–,4.7,4.3,4.0,8.9,9.5,9.3,27.0,26.7,25.8,2.1,2.1,1.7,6.4,5.7,5.1,9.4,9.8,9.7,16.3,16.6,15.7,10.2,10.3,8.3,2.8,2.9,2.5,17.8,17.6,17.0
Massachusetts,Total,3649.9,3700.8,3367.6,1.1,1.1,1.0,158.6,162.9,152.3,242.4,244.2,229.8,580.0,580.1,528.9,91.4,93.1,88.8,222.1,223.2,217.0,589.3,604.4,580.6,796.3,814.5,756.6,375.4,379.7,261.4,139.1,140.2,113.5,454.2,457.4,437.8
Massachusetts,Barnstable Town(1),106.9,107.2,94.8,–,–,–,6.9,7.2,6.9,3.3,3.4,3.3,21.6,21.5,19.5,1.5,1.4,1.2,3.9,3.9,3.6,9.4,9.6,9.1,20.1,19.9,17.7,19.7,19.8,14.6,4.6,4.7,3.9,15.9,15.9,14.8
Massachusetts,Boston-Cambridge-Nashua(1),2773.6,2821.8,2571.9,–,–,–,118.1,122.5,113.7,187.2,188.3,177.9,425.8,427.4,388.2,80.5,82.0,79.3,185.1,186.4,181.1,504.6,518.6,500.2,578.7,595.9,553.8,277.7,281.8,192.0,104.2,105.1,85.1,311.8,313.8,300.7
Massachusetts,Leominster-Gardner(1),53.9,53.7,48.5,–,–,–,2.1,2.1,2.0,6.8,6.7,6.3,10.8,10.7,9.6,0.4,0.4,0.3,1.7,1.7,1.6,4.4,4.0,3.8,11.0,11.2,10.6,6.0,6.0,4.3,1.7,1.7,1.4,9.0,9.2,8.6
Massachusetts,New Bedford(1),66.4,67.4,60.9,–,–,–,2.6,2.6,2.5,7.0,7.3,6.2,11.7,11.7,10.8,0.4,0.4,0.4,1.8,1.8,1.6,5.5,5.7,5.4,17.4,17.6,15.9,7.1,7.1,5.7,2.4,2.5,2.1,10.6,10.7,10.2
Massachusetts,Pittsfield(1),41.2,40.9,36.3,–,–,–,2.1,2.1,2.0,3.2,3.2,2.8,6.9,7.1,6.5,0.8,0.8,0.7,2.0,1.9,1.8,4.5,4.3,4.3,9.2,9.2,8.5,5.5,5.3,3.5,1.7,1.7,1.2,5.4,5.4,5.1
Massachusetts,Springfield(1),337.0,339.5,306.6,–,–,–,11.7,11.8,11.5,29.1,29.6,28.3,60.2,60.1,55.7,3.3,3.1,2.7,16.5,16.2,15.1,27.1,26.6,24.0,82.1,83.5,76.4,32.1,32.9,23.0,13.0,13.2,10.7,62.0,62.5,59.3
Worcester(1),Worcester(1),288.5,290.4,266.7,–,–,–,11.4,11.2,10.5,27.9,28.1,26.3,53.1,52.7,49.8,3.6,3.3,2.9,14.6,14.4,14.0,29.0,29.4,27.6,68.5,70.4,65.7,25.6,25.7,19.2,10.9,10.9,8.8,43.9,44.3,41.9
Michigan,Total,4426.1,4442.7,4032.5,7.3,7.3,6.5,169.1,173.6,164.8,628.6,626.3,557.1,790.9,794.9,746.5,56.0,55.4,50.4,220.8,225.1,223.3,659.4,654.6,596.2,685.9,689.1,639.7,433.6,435.5,323.1,166.0,166.6,143.4,608.5,614.3,581.5
Michigan,Ann Arbor(1),224.6,229.0,210.6,–,–,–,4.4,4.9,4.5,15.0,14.6,12.7,26.2,27.1,25.1,5.6,5.9,6.0,7.0,6.8,6.5,30.1,30.6,29.1,28.9,29.9,27.8,18.3,18.4,13.0,6.4,6.4,5.5,82.6,84.4,80.4
Michigan,Battle Creek(1),58.4,57.7,52.4,–,–,–,1.7,1.7,1.7,11.8,11.4,10.1,8.9,9.0,8.8,–,–,–,1.2,1.2,1.1,6.3,6.2,5.2,11.0,10.7,9.8,4.4,4.6,3.7,2.0,2.0,1.8,10.7,10.6,10.0
Michigan,Bay City(1),35.3,35.2,32.5,–,–,–,1.3,1.4,1.3,4.5,4.6,4.5,7.5,7.3,6.8,0.4,0.3,0.3,1.3,1.3,1.3,2.6,2.4,2.5,6.6,6.5,6.0,4.4,4.5,3.6,1.3,1.3,1.0,5.5,5.7,5.3
Michigan,Detroit-Warren-Dearborn(1),2033.4,2043.6,1841.0,–,–,–,74.3,76.2,72.7,259.5,257.5,225.7,375.1,380.1,352.5,28.7,28.3,25.7,118.0,121.6,121.8,398.2,393.6,361.1,316.7,319.5,292.1,200.2,201.3,144.6,75.1,75.6,63.8,187.6,189.9,181.1
Michigan,Flint(1),138.4,138.7,126.2,–,–,–,5.7,5.8,5.3,12.5,13.2,12.3,29.5,28.8,26.0,1.4,1.3,1.1,6.1,6.0,5.9,16.8,17.0,16.0,26.8,26.8,24.9,15.4,15.7,12.4,5.4,5.3,4.7,18.9,18.8,17.7
Michigan,Grand Rapids-Wyoming(1),565.2,569.0,521.8,–,–,–,24.9,25.8,24.5,118.0,119.0,107.4,97.5,98.3,94.2,6.6,6.6,5.7,26.4,27.0,26.6,79.1,77.5,69.3,93.3,94.0,90.8,49.8,49.9,37.1,22.2,22.8,19.9,47.4,48.1,46.3
Michigan,Jackson(1),58.6,58.8,53.9,–,–,–,2.0,2.1,2.0,10.0,10.0,8.8,12.4,12.3,11.8,0.3,0.3,0.2,2.1,2.2,2.2,5.8,5.9,5.0,10.4,10.2,10.0,5.3,5.2,4.1,2.5,2.6,2.2,7.9,8.1,7.7
Michigan,Kalamazoo-Portage(1),150.1,150.9,138.9,–,–,–,6.3,6.5,6.4,22.8,23.1,21.6,26.7,26.4,25.2,0.9,0.8,0.8,8.3,8.2,7.8,17.6,17.8,15.7,24.7,25.3,24.5,16.3,16.2,12.6,5.2,5.3,4.8,21.2,21.3,19.5
Michigan,Lansing-East Lansing(1),237.2,237.7,216.6,–,–,–,8.0,8.2,8.0,20.1,19.3,17.8,37.1,36.4,33.5,2.9,3.0,3.1,16.6,17.2,17.3,24.0,24.3,21.9,32.4,32.6,30.7,19.3,19.4,13.8,10.4,10.2,8.8,66.3,67.2,61.7
Michigan,Midland(2),37.9,37.4,34.9,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,2.9,3.0,2.8
Michigan,Monroe(1),41.7,41.4,37.5,–,–,–,2.0,1.9,1.8,5.6,5.7,5.2,10.8,10.7,10.1,–,–,–,1.0,0.9,0.9,5.5,5.5,4.8,5.2,5.1,4.5,4.5,4.5,3.6,1.4,1.5,1.4,5.3,5.3,5.0
Michigan,Muskegon(1),65.1,64.3,57.9,–,–,–,2.4,2.5,2.3,13.9,13.9,11.8,13.8,13.6,13.2,0.4,0.4,0.3,1.7,1.8,1.7,3.7,3.5,3.0,12.0,11.7,10.6,7.6,7.5,6.3,2.2,2.2,1.8,7.3,7.2,6.9
Michigan,Niles-Benton Harbor(1),62.4,63.1,57.6,–,–,–,2.4,2.5,2.1,13.2,13.2,11.7,10.7,10.6,10.2,0.5,0.5,0.4,2.5,2.5,2.5,5.6,5.7,5.3,9.4,9.6,9.3,7.6,7.6,5.9,2.3,2.4,2.0,8.5,8.6,8.1
Michigan,Saginaw(1),88.0,87.7,78.9,–,–,–,3.0,3.2,3.0,12.6,12.2,10.6,16.9,16.8,15.4,1.4,1.3,1.1,3.7,3.8,3.7,11.2,11.2,10.0,16.0,16.0,15.4,9.1,9.0,6.7,3.2,3.1,2.6,11.0,11.1,10.5
Minnesota,Total,2963.5,2983.2,2776.2,6.6,6.6,6.1,121.9,127.3,123.3,321.9,324.1,308.7,533.7,530.3,501.8,47.3,46.8,42.7,191.0,194.3,193.6,382.0,383.3,358.7,546.0,554.4,532.3,273.4,275.8,203.1,113.9,114.5,99.6,425.7,425.9,406.4
Minnesota,Duluth(1),137.5,137.2,126.7,–,–,–,9.3,9.6,8.9,7.9,8.2,7.7,24.7,24.4,23.3,1.3,1.3,1.1,5.8,5.6,5.2,7.7,7.7,7.5,33.0,33.0,31.3,14.8,14.8,11.5,6.6,6.4,5.5,26.4,26.2,24.7
Minnesota,Mankato-North Mankato(2),58.3,58.7,54.6,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,9.5,9.6,9.4
Minnesota,Minneapolis-St. Paul-Bloomington(1),2019.8,2036.0,1887.0,–,–,–,82.6,86.6,83.7,198.8,200.8,192.3,358.1,357.0,335.7,35.7,35.5,32.7,156.3,159.9,160.5,329.4,330.5,309.3,340.0,345.1,328.5,190.4,191.9,136.2,78.8,78.9,68.3,249.8,249.8,239.7
Minnesota,Rochester(1),122.6,124.1,118.5,–,–,–,4.7,5.1,5.0,10.8,11.1,10.4,17.9,17.5,16.7,1.7,1.5,1.4,2.8,2.8,2.8,6.1,5.7,5.5,50.8,52.0,51.6,11.2,11.5,9.1,3.8,3.9,3.5,12.9,13.1,12.6
Minnesota,St. Cloud(1),110.3,110.7,103.9,–,–,–,6.6,7.0,7.2,15.4,15.6,14.2,22.9,22.6,21.1,1.4,1.5,1.4,5.3,5.5,5.5,10.2,9.4,8.1,21.1,21.7,21.3,8.4,8.3,6.7,3.9,4.1,3.5,15.1,15.2,14.9
Mississippi,Total,1153.8,1158.6,1108.7,6.9,6.8,5.9,43.8,44.6,44.0,145.0,146.8,139.4,231.5,231.2,227.8,11.0,10.7,9.6,44.5,44.5,43.0,109.5,108.4,106.2,145.1,146.8,139.5,134.8,136.3,118.1,41.1,40.5,39.1,240.8,241.9,236.1
Mississippi,Gulfport-Biloxi-Pascagoula(1),155.0,156.3,149.9,–,–,–,8.0,7.9,7.4,17.3,17.2,17.7,24.6,24.7,23.9,1.3,1.4,1.2,5.3,5.2,5.1,15.3,16.0,16.1,13.2,13.1,12.1,31.1,31.7,27.1,5.4,5.3,5.0,33.3,33.9,34.4
Mississippi,Hattiesburg(2),65.1,65.5,63.0,–,–,–,–,–,–,4.5,4.8,4.6,14.1,13.7,13.0,–,–,–,–,–,–,–,–,–,–,–,–,8.2,8.4,7.3,–,–,–,14.5,14.7,14.1
Mississippi,Jackson,279.2,279.7,264.7,1.2,1.0,0.8,9.8,10.2,10.5,20.6,20.5,18.6,52.9,52.6,50.3,3.6,3.5,3.2,15.9,15.7,15.0,34.3,33.9,33.4,44.3,44.8,42.0,26.3,27.0,22.9,13.6,13.4,12.6,56.8,57.1,55.4
Missouri,Total,2892.7,2914.6,2774.0,4.4,4.4,4.4,122.7,126.6,126.0,272.9,277.4,265.6,545.0,543.9,527.1,49.1,48.2,44.9,172.1,175.4,174.3,384.3,382.5,364.9,485.7,493.4,479.5,305.6,308.9,252.7,116.0,116.8,110.1,434.8,437.2,424.7
Missouri,Cape Girardeau(2),44.8,45.2,43.3,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,6.3,6.4,6.2
Missouri,Columbia(2),100.4,100.7,96.0,–,–,–,–,–,–,–,–,–,15.4,15.3,15.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,29.7,29.8,28.6
Missouri,Jefferson City(2),77.0,78.2,76.3,–,–,–,–,–,–,–,–,–,14.1,14.0,13.4,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,24.6,24.7,24.2
Missouri,Joplin(2),80.5,81.0,76.7,–,–,–,–,–,–,13.4,13.6,13.1,20.6,20.9,18.9,–,–,–,–,–,–,–,–,–,13.3,13.6,13.2,–,–,–,–,–,–,9.4,9.4,9.1
Missouri,Kansas City(1),1088.9,1097.9,1050.4,–,–,–,50.3,52.7,52.6,79.7,81.1,78.7,217.5,218.9,210.3,16.9,16.3,15.0,78.4,79.4,79.4,189.8,188.0,182.6,156.5,159.2,154.8,110.6,111.9,90.6,42.5,42.8,40.4,146.8,147.5,146.1
Missouri,St. Joseph(2),62.5,62.5,60.3,–,–,–,–,–,–,–,–,–,10.9,10.7,10.6,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,11.7,11.6,10.8
Missouri,St. Louis(1)(4),1394.3,1406.1,1327.5,–,–,–,66.8,68.5,66.0,116.9,119.1,113.5,260.4,258.7,254.3,27.4,27.2,25.4,91.3,92.6,90.6,213.3,213.6,204.9,260.1,264.5,254.4,152.4,152.7,119.5,51.1,51.8,47.0,154.6,157.5,151.8
Missouri,Springfield(1),215.8,219.2,211.8,–,–,–,8.9,9.4,9.7,16.5,17.0,16.6,49.4,49.2,48.1,4.2,4.0,3.8,11.7,11.7,11.6,24.8,24.2,23.3,39.5,41.0,40.7,21.9,22.8,19.6,8.9,9.0,8.6,30.0,30.6,29.6
Montana,Total,478.7,484.5,469.5,7.2,7.3,6.7,29.1,30.0,30.6,20.6,21.0,20.4,94.5,94.1,92.3,6.4,6.2,5.8,25.5,26.5,26.3,42.3,43.3,43.5,77.9,79.0,77.8,66.1,67.2,58.9,18.9,19.2,18.1,90.3,90.8,89.1
Montana,Billings(2),85.4,85.6,83.7,–,–,–,–,–,–,–,–,–,20.6,20.5,20.2,–,–,–,–,–,–,8.9,8.5,8.7,15.2,15.5,15.5,12.0,12.1,10.9,–,–,–,9.6,9.6,9.6
Montana,Great Falls(2),35.8,36.0,34.3,–,–,–,–,–,–,–,–,–,7.9,7.6,7.4,–,–,–,–,–,–,3.2,3.4,3.2,7.4,7.6,7.3,4.8,4.9,4.2,–,–,–,5.5,5.4,5.4
Montana,Missoula(2),62.3,63.1,60.3,–,–,–,–,–,–,–,–,–,12.7,12.7,12.1,–,–,–,–,–,–,6.9,7.1,6.9,10.6,10.9,10.7,8.5,8.4,7.2,–,–,–,10.7,10.8,10.4
Nebraska,Total,1023.8,1026.9,989.3,1.1,1.1,1.0,52.4,53.8,55.0,99.7,99.8,97.5,201.4,198.2,191.7,17.6,17.3,16.2,74.1,75.0,74.6,119.0,120.1,117.0,155.9,156.7,153.0,92.6,93.9,79.4,37.0,37.2,35.5,173.2,173.7,168.4
Nebraska,Grand Island(2),42.6,42.2,40.3,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,6.6,6.6,6.3
Nebraska,Lincoln(1),192.1,193.1,185.1,–,–,–,9.2,9.4,9.7,13.4,13.5,12.9,34.1,33.7,32.4,3.3,3.4,3.2,13.1,12.9,12.7,21.3,21.8,21.6,30.1,30.5,29.9,19.2,19.4,15.4,7.2,7.2,6.9,41.0,41.5,40.5
Nebraska,Omaha-Council Bluffs(1),502.7,507.0,485.7,–,–,–,28.7,30.5,30.4,33.9,33.6,33.0,96.8,96.1,91.8,11.2,10.5,9.9,45.0,46.0,45.5,71.7,73.1,70.9,79.7,79.7,78.0,50.7,52.0,43.3,18.5,18.6,17.7,66.5,66.9,65.2
Nevada,Total,1383.8,1421.9,1274.4,14.6,14.7,14.9,89.4,96.2,93.7,55.6,59.2,56.1,255.4,262.2,256.0,15.7,15.7,13.5,67.5,68.9,66.7,189.9,197.0,180.0,139.7,144.8,141.2,352.8,356.1,255.9,41.6,41.8,36.8,161.8,165.3,159.6
Nevada,Carson City(2),30.1,30.7,29.5,–,–,–,–,–,–,2.6,2.7,2.5,4.2,4.3,4.3,–,–,–,–,–,–,2.1,2.2,2.2,–,–,–,3.6,3.7,3.0,–,–,–,9.6,9.6,9.2
Nevada,Las Vegas-Henderson-Paradise,1007.2,1037.2,909.1,0.4,0.4,0.4,63.7,69.9,67.6,24.6,25.8,24.0,179.7,185.1,179.9,11.6,11.5,9.5,52.4,53.8,51.6,145.2,152.4,134.9,102.6,105.5,102.5,291.7,294.2,207.2,31.9,31.9,27.8,103.4,106.5,103.7
Nevada,Reno,242.8,248.0,235.1,0.3,0.3,0.4,17.9,18.2,18.1,23.3,25.4,24.3,53.2,54.3,52.8,2.9,3.1,2.9,10.9,10.9,11.0,32.3,32.1,32.5,27.2,28.0,27.3,38.4,39.0,30.4,6.4,6.5,5.9,30.0,30.3,29.5
New Hampshire,Total,677.4,684.0,638.3,1.0,1.0,1.0,27.0,27.9,27.8,70.6,71.5,67.3,139.4,139.4,133.2,12.5,12.4,11.7,34.5,34.3,33.9,82.9,83.7,82.0,123.1,125.2,116.9,72.1,73.3,57.1,24.4,25.0,22.1,90.0,90.3,85.4
New Hampshire,Dover-Durham(1),54.1,54.5,50.5,–,–,–,1.7,1.8,1.9,5.6,5.6,4.9,9.2,9.2,8.9,0.7,0.7,0.7,3.0,3.0,3.0,5.5,5.3,5.1,8.5,8.8,8.2,5.3,5.4,4.5,1.9,1.9,1.7,12.7,12.8,11.7
New Hampshire,Manchester(1),116.3,116.8,107.5,–,–,–,5.2,5.5,5.4,7.9,8.0,7.6,20.3,20.2,19.4,3.5,3.5,3.2,8.2,8.0,7.8,17.4,17.4,16.2,26.8,26.9,24.5,10.3,10.5,7.8,4.8,4.9,4.1,11.8,11.9,11.5
New Hampshire,Portsmouth(1),93.0,94.2,88.3,–,–,–,2.7,2.7,2.8,8.7,8.8,8.9,17.1,16.9,15.5,2.1,2.2,2.1,5.5,5.4,5.4,13.5,13.9,13.7,14.1,14.3,13.6,12.3,12.4,9.3,2.8,2.9,2.5,14.2,14.6,14.6
New Jersey,Total,4159.2,4197.4,3846.6,1.3,1.4,1.4,158.0,160.7,151.0,249.8,251.2,237.6,881.1,884.4,829.9,71.7,69.6,68.2,251.3,252.2,243.9,676.9,683.0,644.9,707.1,721.3,666.5,387.6,394.5,282.4,171.1,173.4,142.3,603.5,605.8,578.6
New Jersey,Atlantic City-Hammonton(1),130.9,133.3,112.2,–,–,–,5.9,5.6,5.1,2.3,2.4,2.3,20.9,20.4,18.7,0.8,0.6,0.5,3.7,3.9,3.8,10.5,11.1,10.8,21.1,21.6,19.6,39.7,41.5,27.2,5.4,5.5,4.2,20.8,20.8,19.9
New Jersey,Ocean City(2),43.0,43.4,39.4,–,–,–,–,–,–,–,–,–,8.0,7.9,7.5,–,–,–,–,–,–,–,–,–,4.9,4.9,4.5,11.9,12.3,9.7,–,–,–,8.4,8.3,8.0
New Jersey,Trenton(1),276.2,281.3,267.1,–,–,–,5.5,5.7,5.3,10.5,10.9,10.2,38.6,39.0,37.3,4.4,4.3,4.2,20.3,20.1,19.9,47.7,49.7,47.6,49.2,50.4,47.9,15.9,15.9,10.7,10.2,10.2,8.8,73.8,75.1,75.1
New Jersey,Vineland-Bridgeton(1),59.0,59.3,56.0,–,–,–,2.8,2.9,3.0,9.1,8.9,8.3,13.3,13.7,13.3,0.6,0.6,0.6,1.2,1.2,1.1,4.1,4.2,4.7,11.2,11.5,10.6,3.6,3.7,2.9,2.0,1.9,1.4,11.0,10.7,10.2
New Mexico,Total,841.0,855.1,797.3,24.6,25.9,19.8,47.3,50.1,48.4,27.3,28.6,26.8,137.4,136.8,131.2,11.4,11.2,8.9,34.8,35.7,34.3,107.2,111.4,107.0,138.2,139.6,135.1,97.8,99.7,79.1,29.0,29.2,26.4,186.0,186.9,180.4
New Mexico,Albuquerque(1),393.7,398.7,374.5,–,–,–,23.9,24.6,24.5,16.0,16.7,15.6,63.8,63.2,60.2,6.5,6.1,5.2,18.9,19.4,18.9,61.8,64.1,61.3,64.9,65.9,63.7,44.1,44.7,35.1,12.1,12.2,10.9,81.8,81.8,79.0
New Mexico,Farmington(2),47.8,47.5,42.8,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,10.9,11.1,10.4
New Mexico,Las Cruces(1),73.0,74.1,70.5,–,–,–,3.6,3.8,3.8,2.4,2.7,2.8,10.8,10.9,10.8,0.7,0.7,0.5,2.6,2.6,2.3,8.2,7.7,6.9,15.9,16.2,16.2,8.3,8.4,6.8,1.5,1.5,1.4,19.1,19.6,19.1
New Mexico,Santa Fe(1),62.5,63.3,57.1,–,–,–,2.9,3.0,3.0,0.9,0.9,0.8,9.9,10.0,9.4,0.9,0.9,0.8,2.5,2.5,2.3,5.1,5.5,5.2,11.1,10.6,9.9,11.1,11.6,8.3,3.4,3.4,3.2,14.9,15.0,14.4
New York,Total,9684.9,9786.3,8777.5,5.4,5.3,5.1,400.8,406.6,362.2,444.0,439.9,400.8,1566.5,1556.7,1371.1,283.9,288.1,267.1,723.3,731.3,707.6,1327.0,1352.2,1243.4,2072.7,2135.3,2006.3,960.0,961.8,630.6,414.4,416.0,339.8,1487.0,1493.2,1443.5
New York,Albany-Schenectady-Troy(1),471.7,472.0,437.0,–,–,–,19.7,20.2,19.4,26.7,26.2,25.5,74.6,74.3,69.7,8.6,8.1,7.8,26.6,27.0,26.0,56.5,56.8,54.5,96.4,96.4,90.5,41.6,41.0,28.8,19.4,19.3,15.7,101.6,102.8,99.2
New York,Binghamton(1),104.0,103.2,93.1,–,–,–,4.1,4.2,3.8,11.4,11.1,10.5,18.9,18.7,17.1,1.5,1.5,1.3,3.6,3.5,3.1,9.0,9.1,8.0,17.2,17.4,16.4,10.8,10.4,7.5,5.5,5.5,4.7,22.0,22.0,20.6
New York,Buffalo-Cheektowaga-Niagara Falls(1),564.7,564.7,509.3,–,–,–,20.9,21.2,19.6,52.3,52.5,49.2,100.7,99.5,91.6,7.4,6.9,6.0,36.6,36.6,35.5,72.2,72.7,66.4,98.7,99.2,91.4,61.0,60.3,43.0,25.3,25.8,21.3,89.7,90.0,85.3
New York,Elmira(1),37.1,37.0,34.2,–,–,–,1.5,1.5,1.4,5.1,5.1,4.7,7.8,7.8,7.5,0.4,0.5,0.4,1.3,1.2,1.1,2.0,2.0,1.9,7.5,7.3,6.6,3.6,3.5,2.9,1.6,1.5,1.2,6.4,6.6,6.4
New York,Glens Falls(1),55.3,54.7,49.8,–,–,–,2.6,2.5,2.4,6.0,5.9,5.7,9.4,9.3,8.7,0.9,0.9,0.8,1.8,1.9,1.9,5.4,5.3,5.0,8.6,8.3,7.7,7.8,7.8,5.9,2.4,2.3,1.9,10.4,10.4,9.8
New York,Ithaca(1),64.9,63.7,58.0,–,–,–,1.2,1.3,1.2,3.1,2.8,2.4,6.2,6.0,5.4,0.6,0.5,0.5,1.6,1.7,1.6,3.6,3.7,3.5,33.2,32.5,30.7,5.1,4.8,3.1,1.8,1.8,1.6,8.6,8.6,8.1
New York,Kingston(1),62.8,62.2,56.0,–,–,–,3.0,3.0,2.6,3.4,3.4,3.1,12.0,11.6,10.8,0.9,1.0,0.8,2.4,2.3,2.2,4.6,4.6,4.4,10.8,10.6,9.7,8.4,8.5,6.2,3.0,3.0,2.4,14.3,14.2,13.7
New York,New York-Newark-Jersey City(1),9845.9,9974.9,8963.9,–,–,–,411.9,419.5,373.8,363.4,360.7,327.1,1742.0,1736.9,1540.4,303.1,307.2,289.9,783.7,792.6,765.4,1561.3,1591.8,1472.0,1989.3,2060.6,1931.0,939.9,947.7,620.0,424.9,428.3,348.1,1326.3,1329.6,1296.2
New York,Rochester,539.7,539.7,490.8,0.6,0.7,0.6,21.2,21.9,20.5,56.7,56.9,54.0,84.1,82.5,77.4,8.1,7.8,6.6,22.2,22.4,21.5,69.8,69.0,61.6,131.0,133.0,123.7,47.3,46.9,34.5,19.1,19.1,16.1,79.6,79.7,74.1
New York,Syracuse(1),319.9,320.4,294.2,–,–,–,13.6,13.2,12.5,26.0,26.1,24.5,61.8,60.3,56.2,4.5,4.3,3.7,14.5,14.5,14.3,35.9,35.9,34.5,63.4,65.6,60.8,29.8,29.8,21.1,12.2,11.9,10.2,58.3,58.8,56.4
New York,Utica-Rome(1),127.8,128.6,117.7,–,–,–,3.5,3.4,3.3,11.4,11.4,10.4,20.3,20.4,19.3,1.0,1.0,0.9,7.1,7.4,7.4,8.3,8.1,7.6,28.8,29.2,26.5,10.8,10.9,8.4,4.8,4.8,4.1,31.8,31.9,29.8
New York,Watertown-Fort Drum(1),42.1,41.5,38.0,–,–,–,1.8,1.8,1.7,2.1,2.0,1.8,8.5,8.3,7.7,0.6,0.6,0.5,1.3,1.3,1.3,2.5,2.2,2.0,6.8,7.0,6.6,4.7,4.5,3.7,2.0,2.0,1.6,11.9,11.9,11.3
North Carolina,Total,4491.7,4580.2,4381.3,5.8,5.7,5.7,220.6,231.9,229.1,475.0,477.7,453.0,832.9,847.8,839.1,74.7,75.5,73.4,242.5,250.4,256.3,636.0,650.4,636.4,611.7,626.4,600.6,502.7,514.8,420.0,161.4,166.6,153.8,728.5,733.1,714.0
